ID,Name,Business Description,Primary Objects,Component Groups,Complexity Score
V_F44AF7B0,User & System Administration,"Handles administrative tasks such as managing Pitcher application access, updating user role descriptions, and sending email confirmation links to standard users.",User,"V51000000001044, V51000000002025, V51000000004051",13
V_93DC9F40,Medical Inquiry Management,"Manages the end-to-end lifecycle of medical inquiries, including request routing, MSL assignment tracking, status updates, and record classification to ensure timely and accurate responses to healthcare professionals.",Medical_Inquiry_vod__c,"V51000000001020, V51000000004061, V51000000004007, V51000000001043, V51000000001040, V51000000001030, V51000000002001",10
V_6F73ACCA,Call Reporting & Interactions,"Facilitates the logging and tracking of interactions with healthcare professionals and accounts, providing streamlined interfaces for capturing call reports and viewing interaction histories.","Call2_vod__c, Account","V51000000001004, V51000000001007",0
V_7B062870,Surveys & Feedback Management,"Enables the collection and analysis of customer feedback through standardized surveys, such as Net Promoter Score (NPS) and Customer Satisfaction (CSAT), to measure and improve service quality.",Survey,"V51000000001036, V51000000002016",2
V_1C959D1D,Project Management,Streamlines project tracking and execution by automatically categorizing project types and ensuring project milestones and statuses are accurately maintained for reporting and operational efficiency.,project_cloud__Project__c,"V51000000001046, V51000000002036",9
V_2B31291A,User & System Administration,"Automates routine administrative tasks, such as maintaining accurate user role descriptions and managing user email verification processes, ensuring system security and data integrity.","User, UserRole","V51000000002025, V51000000004051",8
V_FAB89507,Account Planning & Tactics,"Supports strategic account management by ensuring account plans are properly assigned and managed, facilitating coordinated efforts across teams for key accounts.",Account_Plan_vod__c,V51000000003017,0
V_AB6A121E,MyInsights & Analytics,"Provides comprehensive data visualization and reporting capabilities, offering actionable insights into territory performance, healthcare provider engagement, sales trends, and account strategies through tailored dashboards.",MyInsights,"V51000000003031, V51000000003032, V51000000003033, V51000000003034, V51000000003035, V51000000003036, V51000000003037, V51000000003038, V51000000003039, V51000000003040, V51000000004062, V51000000004063, V51000000004064, V51000000004065, V51000000004066, V51000000004067, V51000000004068, V51000000004069, V51000000004070, V51000000004071, V51000000004072",0
V_0F36F1DE,"Account, Territory & Data Change Management","Manages core Account master data attributes, parent-child account relations, address inheritance, and territory alignments. It also handles Data Change Requests (DCRs) to ensure data quality and synchronization with external master data systems.","Account, Child_Account_vod__c, Address_vod__c, mck_Account_Relation__c, Account_Territory_Loader_vod__c, TSF_vod__c, Data_Change_Request_vod__c, mck_Related_External_Account_Data__c","V51000000001001, V51000000007018, V51000000008015, V51000000008006, V51000000008005, V51000000008004, V51000000007003, V51000000007002, V51000000006015, V51000000006014, V51000000006010, V51000000006006, V51000000005014, V51000000004123, V51000000004122, V51000000004128, V51000000004097, V51000000004096, V51000000004086, V51000000004080, V51000000004076, V51000000004074, V51000000004073, V51000000004067, V51000000004058, V51000000004052, V51000000004033, V51000000004021, V51000000004008, V51000000004079, V51000000003071, V51000000003062, V51000000003059, V51000000003056, V51000000003042, V51000000003005, V51000000002316, V51000000002299, V51000000002297, V51000000002292, V51000000002285, V51000000002284, V51000000002283, V51000000002273, V51000000002271, V51000000002270, V51000000002257, V51000000002226, V51000000002211, V51000000002210, V51000000002208, V51000000002188, V51000000002183, V51000000002182, V51000000002175, V51000000002170, V51000000002168, V51000000002167, V51000000002162, V51000000002161, V51000000002160, V51000000002158, V51000000002152, V51000000002151, V51000000002145, V51000000002128, V51000000002126, V51000000002124, V51000000002123, V51000000002122, V51000000002121, V51000000002120, V51000000002119, V51000000002118, V51000000002117, V51000000002116, V51000000002115, V51000000002113, V51000000002111, V51000000002103, V51000000002100, V51000000002097, V51000000002096, V51000000002095, V51000000002090, V51000000002089, V51000000002088, V51000000002075, V51000000002068, V51000000002067, V51000000002065, V51000000002062, V51000000002061, V51000000002031, V51000000002030, V51000000002029, V51000000002020, V51000000002016, V51000000002012, V51000000002011, V51000000002009, V51000000002008, V51000000002007, V51000000002006, V51000000002004, V51000000002002, V51000000002001, V51000000001330, V51000000001316, V51000000001315, V51000000001314, V51000000001312, V51000000001310, V51000000001303, V51000000001301, V51000000001298, V51000000001294, V51000000001292, V51000000001291, V51000000001290, V51000000001284, V51000000001283, V51000000001282, V51000000001281, V51000000001279, V51000000001276, V51000000001274, V51000000001270, V51000000001265, V51000000001264, V51000000001263, V51000000001262, V51000000001258, V51000000001198, V51000000001197, V51000000001196, V51000000001189, V51000000001179, V51000000001178, V51000000001171, V51000000001162, V51000000001160, V51000000001156, V51000000001155, V51000000001154, V51000000001150, V51000000001140, V51000000001139, V51000000001138, V51000000001137, V51000000001134, V51000000001133, V51000000001132, V51000000001130, V51000000001105, V51000000001096, V51000000001083, V51000000001080, V51000000001077, V51000000001064, V51000000001061, V51000000001024, V51000000001021, V51000000001013, V51000000001010, V51000000001009, V51000000001006, V51000000001004, V51000000001003, V51000000001002, V51000000008023, V51000000008042, V51000000002049, V51000000004132, V51000000002298, V51000000002259, V51000000002212, V51000000002154",3250
V_9F905AFF,Product Catalog & Segmentation Management,"Maintains the global product catalog, standardizes product attributes, calculates local-to-regional marketing tiers, and updates behavioral segmentations for targeted marketing and metrics tracking.","Product_vod__c, Product_Metrics_vod__c, mck_Merck_Product_Catalog__c, Key_Stakeholder_vod__c, My_Setup_Products_vod__c","V51000000008029, V51000000008028, V51000000008019, V51000000008012, V51000000007009, V51000000006011, V51000000006005, V51000000006004, V51000000006003, V51000000006001, V51000000005011, V51000000002305, V51000000002295, V51000000002293, V51000000002291, V51000000002288, V51000000002242, V51000000002235, V51000000002230, V51000000002189, V51000000002163, V51000000002086, V51000000002059, V51000000002054, V51000000002042, V51000000001309, V51000000001187, V51000000001177, V51000000001165, V51000000001163, V51000000001149, V51000000001146, V51000000001107, V51000000001100, V51000000001093, V51000000001076, V51000000001074, V51000000001069",285
V_B390EC68,Order & Inventory Management,"Bridges external systems with Salesforce Order interfaces, manages bulk literature orders, adjusts inventory tallies, and handles order approvals and shipping notifications.","Order_vod__c, Order_Line_vod__c, Inventory_Order_vod__c, Inventory_Order_Line_vod__c, Inventory_Order_Allocation_vod__c","V51000000008002, V51000000007015, V51000000007005, V51000000006008, V51000000004135, V51000000004134, V51000000004133, V51000000004129, V51000000004126, V51000000004125, V51000000004124, V51000000004088, V51000000003088, V51000000003051, V51000000003050, V51000000002112",850
V_7ACAF8E2,Multichannel Consent & Privacy Compliance,"Enforces GDPR and international privacy guidelines, manages double opt-in consent lifecycles, tracks communication preferences, and synchronizes marketing cloud opt-out flags.","Multichannel_Consent_vod__c, Consent_Type_vod__c, Consent_Header_vod__c, Consent_Line_vod__c, mck_GDPR_Notification__c","V51000000008014, V51000000008008, V51000000006012, V51000000005005, V51000000005002, V51000000004130, V51000000003090, V51000000003076, V51000000003075, V51000000003060, V51000000003058, V51000000003044, V51000000003038, V51000000002310, V51000000002301, V51000000002296, V51000000002250, V51000000002216, V51000000002214, V51000000002201, V51000000002174, V51000000002159, V51000000002147, V51000000002146, V51000000002092, V51000000002077, V51000000002040, V51000000002039, V51000000002034, V51000000002033, V51000000001337, V51000000001326, V51000000001308, V51000000001273, V51000000001272, V51000000001252, V51000000001173, V51000000001169, V51000000001159, V51000000001097, V51000000001073, V51000000001067, V51000000001066, V51000000001065",2150
V_1B4D5F5F,Medical Insights & Inquiries,"Oversees the lifecycle of Medical and Commercial Insights, routes records for approval, standardizes medical inquiry structures, and tracks integration status with global GMI databases.","Medical_Insight_vod__c, Medical_Inquiry_vod__c, mck_My_Insight_Activities__c, mck_My_Insight_CPA__c","V51000000008026, V51000000007011, V51000000007010, V51000000006002, V51000000005008, V51000000004137, V51000000004136, V51000000004094, V51000000004092, V51000000004053, V51000000004051, V51000000004036, V51000000003052, V51000000003019, V51000000002312, V51000000002290, V51000000002206, V51000000002205, V51000000002187, V51000000002180, V51000000002166, V51000000002072, V51000000002071, V51000000002060, V51000000002058, V51000000001338, V51000000001307, V51000000001280, V51000000001190, V51000000001184, V51000000001167, V51000000001166, V51000000001161, V51000000001091, V51000000001090, V51000000001081, V51000000001044, V51000000001030, V51000000001029",210
V_4B143E75,Event & Attendee Management,"Governs the complete lifecycle of Veeva Medical and Commercial events, manages attendee statuses, tracks speakers, handles expense allocations, and ensures regional compliance.","EM_Event_vod__c, EM_Attendee_vod__c, EM_Event_Speaker_vod__c, EM_Speaker_vod__c, Expense_Header_vod__c, Expense_Line_vod__c, Medical_Event_vod__c, Event_Attendee_vod__c","V51000000008017, V51000000008013, V51000000008007, V51000000007006, V51000000007004, V51000000004093, V51000000004091, V51000000004081, V51000000004072, V51000000004071, V51000000004070, V51000000004062, V51000000004061, V51000000004060, V51000000004056, V51000000004048, V51000000004046, V51000000004045, V51000000004044, V51000000004043, V51000000004042, V51000000004041, V51000000004040, V51000000004039, V51000000004032, V51000000004030, V51000000004029, V51000000004028, V51000000004027, V51000000004026, V51000000004007, V51000000004006, V51000000004005, V51000000004004, V51000000004003, V51000000004002, V51000000004001, V51000000003054, V51000000003053, V51000000003030, V51000000003029, V51000000003028, V51000000003027, V51000000003026, V51000000003025, V51000000003024, V51000000003023, V51000000003022, V51000000003021, V51000000003013, V51000000003012, V51000000003011, V51000000003010, V51000000003009, V51000000003008, V51000000003007, V51000000002204, V51000000002199, V51000000002194, V51000000002192, V51000000002191, V51000000002171, V51000000002144, V51000000002143, V51000000002142, V51000000002141, V51000000002140, V51000000002139, V51000000002138, V51000000002137, V51000000002136, V51000000002135, V51000000002134, V51000000002133, V51000000002129, V51000000002085, V51000000002084, V51000000002082, V51000000002079, V51000000002052, V51000000002051, V51000000002048, V51000000002047, V51000000002046, V51000000002045, V51000000002036, V51000000002019, V51000000002018, V51000000001323, V51000000001152, V51000000001109, V51000000001103, V51000000001099, V51000000001089, V51000000001088, V51000000001072, V51000000001060, V51000000001059, V51000000001058, V51000000001055, V51000000001054, V51000000001048, V51000000001047, V51000000001043, V51000000001042, V51000000001027, V51000000001026",5850
V_494FB59A,Sample & Call Limit Management,"Monitors pharmaceutical sample lot quantities, alerts on expiration timelines, enforces regional call frequency restrictions, and synchronizes duration metrics for sales activities.","Sample_Lot_vod__c, Sample_Limit_vod__c, Sample_Transaction_vod__c, Call2_vod__c, Call_Limit__c, Call2_Sample_vod__c","V51000000008010, V51000000008003, V51000000007007, V51000000005010, V51000000005009, V51000000004121, V51000000004120, V51000000004119, V51000000004098, V51000000004087, V51000000004085, V51000000004084, V51000000004083, V51000000004082, V51000000004065, V51000000004049, V51000000004037, V51000000004035, V51000000004031, V51000000004019, V51000000004018, V51000000004010, V51000000004009, V51000000003089, V51000000003070, V51000000003069, V51000000003065, V51000000003064, V51000000003055, V51000000003048, V51000000003046, V51000000003020, V51000000002318, V51000000002317, V51000000002311, V51000000002300, V51000000002294, V51000000002286, V51000000002280, V51000000002279, V51000000002272, V51000000002231, V51000000002217, V51000000002213, V51000000002190, V51000000002173, V51000000002172, V51000000002114, V51000000002110, V51000000002099, V51000000002074, V51000000002066, V51000000002064, V51000000002063, V51000000002050, V51000000002041, V51000000002032, V51000000002017, V51000000002005, V51000000002003, V51000000001333, V51000000001332, V51000000001329, V51000000001322, V51000000001313, V51000000001306, V51000000001302, V51000000001289, V51000000001287, V51000000001286, V51000000001285, V51000000001277, V51000000001186, V51000000001176, V51000000001164, V51000000001147, V51000000001143, V51000000001131, V51000000001108, V51000000001094, V51000000001079, V51000000001057, V51000000001052, V51000000001051, V51000000001032, V51000000001025, V51000000001020, V51000000001015",3250
V_29099164,Multichannel Cycle Plan (MCCP) Management,"Tracks MCCP campaign dynamics, automates goal activation flags, processes manager approvals, and reconciles plan achievement milestones against TSF logs.","MC_Cycle_Plan_vod__c, MC_Cycle_vod__c, MC_Cycle_Plan_Target_vod__c, MC_Cycle_Plan_Channel_vod__c","V51000000007017, V51000000006013, V51000000006009, V51000000004075, V51000000004054, V51000000004011, V51000000003041, V51000000003032, V51000000003015, V51000000003014, V51000000003004, V51000000003003, V51000000002320, V51000000002315, V51000000002309, V51000000002308, V51000000002302, V51000000002287, V51000000002258, V51000000002215, V51000000002200, V51000000002193, V51000000002164, V51000000002125, V51000000002106, V51000000002105, V51000000002087, V51000000002010, V51000000001335, V51000000001327, V51000000001269, V51000000001268, V51000000001266, V51000000001188, V51000000001180, V51000000001175, V51000000001170, V51000000001106, V51000000001087, V51000000001078, V51000000001008, V51000000001007, V51000000001005",650
V_C33EBD9D,"Survey, Coaching & Solicitation Management","Coordinates survey creation, collects feedback, handles HCP solicitation permissions for medical communications, and manages coaching report visibility and scoring.","Survey_Target_vod__c, Survey_vod__c, Coaching_Report_vod__c, Question_Response_vod__c","V51000000008024, V51000000008011, V51000000007013, V51000000005012, V51000000004131, V51000000004090, V51000000004089, V51000000004078, V51000000004057, V51000000004025, V51000000003067, V51000000003066, V51000000003049, V51000000003045, V51000000003040, V51000000003039, V51000000003037, V51000000002236, V51000000002056, V51000000002044, V51000000001334, V51000000001304, V51000000001151, V51000000001098, V51000000001095, V51000000001092, V51000000001086, V51000000001070, V51000000001068, V51000000001053, V51000000001046, V51000000001031, V51000000001028",350
V_C2577BAB,Approved Email & Digital Interactions,"Manages tracking rules for email deliveries, processes error bounces, flags corresponding accounts, and generates user alerts for clicks/opens.","Sent_Email_vod__c, Approved_Document_vod__c, Channel_Metrics_vod__c, Email_Activity_vod__c","V51000000008021, V51000000007008, V51000000004138, V51000000003043, V51000000003018, V51000000003017, V51000000003016, V51000000003002, V51000000002314, V51000000002313, V51000000002278, V51000000002277, V51000000002253, V51000000002252, V51000000002234, V51000000002228, V51000000002207, V51000000002169, V51000000002165, V51000000002057, V51000000002053, V51000000001336, V51000000001311, V51000000001300, V51000000001168, V51000000001157, V51000000001104, V51000000001084, V51000000001082, V51000000001063",250
V_81A2B6C4,Key Account & Action Item Management,"Supports Key Account Management workflows, automates action-item task creation, defaults tactical lookups, and cascades ownership updates down the account plan hierarchy.","Account_Plan_vod__c, Account_Tactic_vod__c, Action_Item_vod__c, Task_Assignment__c","V51000000008040, V51000000008039, V51000000008038, V51000000007014, V51000000006007, V51000000005013, V51000000005007, V51000000005004, V51000000004095, V51000000004077, V51000000004066, V51000000004047, V51000000004034, V51000000004023, V51000000003074, V51000000003073, V51000000003034, V51000000003033, V51000000002322, V51000000002218, V51000000002101, V51000000002091, V51000000002081, V51000000001324, V51000000001305, V51000000001229, V51000000001141, V51000000001110, V51000000001056, V51000000001017",350
V_CCF620CA,"User, Profile & Access Management","Manages system user data, automates permission set/application assignments, logs role transitions, and deactivates accounts dormant over 90 days.","User, Merck_User_Access_Request__c, Merck_User_Role_Territory_Alignment__c, CCRMS_Permission_Set_Map__c","V51000000007012, V51000000005003, V51000000005001, V51000000004064, V51000000004020, V51000000003047, V51000000003036, V51000000003031, V51000000003001, V51000000002321, V51000000002319, V51000000002307, V51000000002306, V51000000002303, V51000000002281, V51000000002275, V51000000002274, V51000000002269, V51000000002233, V51000000002203, V51000000002202, V51000000002196, V51000000002195, V51000000002186, V51000000002184, V51000000002181, V51000000002155, V51000000002153, V51000000002150, V51000000002149, V51000000002148, V51000000002132, V51000000002131, V51000000002127, V51000000002104, V51000000002098, V51000000002093, V51000000002083, V51000000002078, V51000000002076, V51000000002073, V51000000002038, V51000000002037, V51000000002035, V51000000002021, V51000000002013, V51000000001339, V51000000001331, V51000000001328, V51000000001325, V51000000001318, V51000000001293, V51000000001278, V51000000001275, V51000000001271, V51000000001267, V51000000001172, V51000000001158, V51000000001148, V51000000001142, V51000000001136, V51000000001135, V51000000001129, V51000000001128, V51000000001102, V51000000001101, V51000000001085, V51000000001071, V51000000001049, V51000000001023, V51000000001016, V51000000001012, V51000000001011",1250
V_B4FA61DB,CLM & Key Messages,Updates country-based sharing permissions for Closed Loop Marketing presentations and establishes global identification strings for key message entities.,"Key_Message_vod__c, Clm_Presentation_vod__c, CLM_to_Account__c","V51000000008009, V51000000004012, V51000000002289, V51000000002276, V51000000002069, V51000000001319, V51000000001181, V51000000001174, V51000000001075, V51000000001045",50
V_890EA824,"Dashboards, Reports & Community Portals","Hosts default portals supporting member features such as logging in, password changes, site registration, ideas posting, and answers access, as well as providing embedded MyInsights dashboards for sales trends and territory summaries.","Dashboards, Visualforce Pages","V51000000008051, V51000000008050, V51000000008049, V51000000008048, V51000000008047, V51000000008046, V51000000008045, V51000000008044, V51000000008043, V51000000007020, V51000000007019, V51000000004127, V51000000004118, V51000000004117, V51000000004116, V51000000004115, V51000000004114, V51000000004113, V51000000004112, V51000000004111, V51000000004110, V51000000004109, V51000000004108, V51000000004107, V51000000004106, V51000000004105, V51000000004104, V51000000004103, V51000000004102, V51000000004101, V51000000004100, V51000000004099, V51000000004017, V51000000004016, V51000000004015, V51000000004014, V51000000004013, V51000000003098, V51000000003097, V51000000003096, V51000000003095, V51000000003094, V51000000003093, V51000000003092, V51000000003091, V51000000003087, V51000000003086, V51000000003085, V51000000003084, V51000000003083, V51000000003082, V51000000003081, V51000000003080, V51000000003079, V51000000003078, V51000000003077, V51000000002333, V51000000002332, V51000000002331, V51000000002330, V51000000002329, V51000000002328, V51000000002327, V51000000002326, V51000000002325, V51000000002324, V51000000002323, V51000000002268, V51000000002267, V51000000002266, V51000000002265, V51000000002264, V51000000002263, V51000000002262, V51000000002261, V51000000002260, V51000000002225, V51000000002224, V51000000002223, V51000000002222, V51000000002221, V51000000002220, V51000000002219, V51000000002179, V51000000002178, V51000000002177, V51000000002176, V51000000002130, V51000000002109, V51000000002108, V51000000002107, V51000000002102, V51000000002043, V51000000002028, V51000000002027, V51000000002026, V51000000002025, V51000000002024, V51000000002023, V51000000002022, V51000000002015, V51000000002014, V51000000001352, V51000000001351, V51000000001350, V51000000001349, V51000000001348, V51000000001347, V51000000001346, V51000000001345, V51000000001344, V51000000001343, V51000000001342, V51000000001341, V51000000001340, V51000000001321, V51000000001320, V51000000001297, V51000000001182, V51000000001127, V51000000001126, V51000000001125, V51000000001124, V51000000001123, V51000000001122, V51000000001121, V51000000001120, V51000000001041, V51000000001040, V51000000001039, V51000000001038, V51000000001037, V51000000001036, V51000000001035, V51000000001034, V51000000001033",150
V_4CDABF0D,General Integration & Utilities,"Maintains data synchronization endpoints, manages transaction logs, and fires alerts to support administrators on system faults.","iConnect_Interface_Log__c, Alert_vod__c, Alert_User_Action_vod__c","V51000000008027, V51000000007016, V51000000005006, V51000000004063, V51000000004050, V51000000002304, V51000000002232, V51000000002229, V51000000002209, V51000000002185, V51000000002080, V51000000002055, V51000000001145, V51000000001062",350
V_EEA2FA4B,Territory & TSF Management,"Maintains database-level territory alignments, cleanses deactivated target statuses, handles ATL modifications, and syncs preferred medical call locations. It also calculates year-to-date activity and aligns accounts with territories.","TSF_vod__c, Account_Territory_Loader_vod__c, Account, User","V51000000001001, V51000000007018, V51000000005009, V51000000004098, V51000000004065, V51000000004054, V51000000004050, V51000000004031, V51000000004019, V51000000004018, V51000000004010, V51000000004009, V51000000003089, V51000000003055, V51000000003048, V51000000003046, V51000000003014, V51000000002317, V51000000002300, V51000000002217, V51000000002190, V51000000002173, V51000000002064, V51000000002041, V51000000001329, V51000000001313, V51000000001306, V51000000001304, V51000000001302, V51000000001292, V51000000001291, V51000000001290, V51000000001186, V51000000001143, V51000000001061, V51000000001057, V51000000001052, V51000000001025, V51000000001020, V51000000004121, V51000000004120",1332
V_B1CBF2C4,"Account Profiling, Segmentation & Metrics","Calculates local-to-regional marketing tiers, updates segment changes, copies values from product metrics to accounts, and resets outdated profiling data. It tracks local, regional, and behavioral segmentations.","Product_Metrics_vod__c, Product_vod__c, Account","V51000000008029, V51000000008019, V51000000008028, V51000000006001, V51000000007009, V51000000006011, V51000000006005, V51000000006004, V51000000006003, V51000000002305, V51000000002291, V51000000001177, V51000000001165, V51000000001163, V51000000002230, V51000000002189, V51000000002163, V51000000002042, V51000000001187, V51000000001146, V51000000001107, V51000000005011, V51000000002295, V51000000002293, V51000000002288, V51000000002242, V51000000002086, V51000000002054, V51000000001093, V51000000001069",251
V_792D2473,Product Catalog & Order Management,"Standardizes product definitions, syncs brand, molecule, and indication identifiers, and maps the Strategic Business Unit (SBU) numbering scheme. It also bridges external systems with Salesforce Order interfaces, adjusts inventory tallies on replenishment, and fires confirmation notifications.","Product_vod__c, Order_vod__c, Order_Line_vod__c, mck_Merck_Product_Catalog__c","V51000000008012, V51000000007015, V51000000004134, V51000000004133, V51000000004126, V51000000004135, V51000000004129, V51000000004125, V51000000002235, V51000000002059, V51000000001309, V51000000001149, V51000000001100, V51000000008002, V51000000007005, V51000000004124, V51000000003088",1034
V_3FB0B205,Survey & Coaching Management,"Coordinates survey creation, collects feedback, handles HCP solicitation permissions for medical communications, and manages survey report visibility with coaches. It also enforces double and triple coaching report formats and calculates final percentage outcomes.","Survey_Target_vod__c, Survey_vod__c, Coaching_Report_vod__c, Question_Response_vod__c","V51000000004090, V51000000008024, V51000000004131, V51000000008011, V51000000004057, V51000000003067, V51000000003049, V51000000003039, V51000000001092, V51000000001070, V51000000001068, V51000000004089, V51000000003045, V51000000005012, V51000000001334, V51000000001053, V51000000001031, V51000000007013, V51000000004078, V51000000004025, V51000000003066, V51000000003040, V51000000001098, V51000000001095, V51000000001046, V51000000001028",322
V_94D45D13,Email & Digital Interactions,"Manages tracking rules for email deliveries, processes error bounces, flags corresponding accounts, and generates user alerts for clicks/opens. It also handles Approved Email notifications and updates tracking modes.","Sent_Email_vod__c, EMDS_Account_Email__c, Channel_Metrics_vod__c, Approved_Document_vod__c","V51000000003016, V51000000003043, V51000000003017, V51000000003002, V51000000002314, V51000000002207, V51000000001104, V51000000001336, V51000000007008, V51000000001168, V51000000001063, V51000000002313, V51000000002234, V51000000002053, V51000000008021, V51000000004138, V51000000001151, V51000000001084, V51000000002231, V51000000001147, V51000000002252, V51000000002253, V51000000002169, V51000000001300, V51000000001311, V51000000002278, V51000000002277",190
V_352BBE51,Medical Insights & Inquiries,"Oversees the lifecycle of Medical and Commercial Insights, routes records for approval, tracks submission timelines with alert notifications, and deletes flagged data. It also standardizes medical inquiry structures and ensures compliance.","Medical_Insight_vod__c, Medical_Inquiry_vod__c, Alert_vod__c","V51000000008026, V51000000004137, V51000000004136, V51000000004094, V51000000002312, V51000000002290, V51000000002187, V51000000002060, V51000000001338, V51000000001190, V51000000001184, V51000000001166, V51000000001091, V51000000007011, V51000000002180, V51000000002072, V51000000002071, V51000000001161, V51000000002206, V51000000002058, V51000000001307, V51000000001090, V51000000001030, V51000000001167, V51000000001081, V51000000006002, V51000000005008, V51000000004053, V51000000003052, V51000000003019, V51000000002205, V51000000001280, V51000000007010, V51000000004092, V51000000004051, V51000000004036, V51000000001044, V51000000002232, V51000000002166, V51000000001029",257
V_24068D1F,Account Tactics & Action Items,"Supports Key Account Management workflows, automates action-item task creation, defaults tactical lookups, and cascades ownership updates down the account plan hierarchy.","Account_Tactic_vod__c, Action_Item_vod__c, Account_Plan_vod__c","V51000000006007, V51000000008039, V51000000008038, V51000000002101, V51000000002081, V51000000001141, V51000000005013, V51000000005007, V51000000005004, V51000000004077, V51000000004034, V51000000002091, V51000000001324, V51000000001229, V51000000004047, V51000000007014, V51000000004023, V51000000008040, V51000000001305, V51000000002228, V51000000002165",237
V_F352424D,Samples & Inventory Management,"Monitors pharmaceutical sample lot quantities, alerts on expiration timelines, maintains SBU/country boundaries, and initiates inventory transfer approvals.","Sample_Lot_vod__c, Sample_Limit_vod__c, Sample_Transaction_vod__c, Inventory_Order_vod__c","V51000000003051, V51000000006008, V51000000003050, V51000000001287, V51000000001131, V51000000002280, V51000000003020, V51000000004049, V51000000002318, V51000000002213, V51000000002172, V51000000008003, V51000000002294, V51000000001286, V51000000002114, V51000000002063, V51000000002003, V51000000001094, V51000000002279, V51000000001289, V51000000008010, V51000000002049, V51000000008023, V51000000005010, V51000000001051, V51000000004088, V51000000001164, V51000000001032, V51000000001015, V51000000002311, V51000000001285, V51000000002272",2200
V_62792404,Data Change Requests (DCR) & Validation,"Transfers submitted data change requests into external steward validation models, registers updates, and maps cleared values back to standard records.","Data_Change_Request_vod__c, Data_Change_Request__c, Address_vod__c, Account","V51000000008015, V51000000004052, V51000000002168, V51000000001156, V51000000001154, V51000000001150, V51000000004132, V51000000002229, V51000000001145, V51000000003036, V51000000002103, V51000000001171, V51000000001155, V51000000001139, V51000000001138, V51000000008042, V51000000002115",2076
